file,RMSD
mj00b_0.cif,14.194849770527359
mj00b_525.cif,15.33511367635463
mj00b_376.cif,15.811698713742839
mj00b_446.cif,23.26378991365946
mj00b_318.cif,23.322643238800097
mj00b_427.cif,23.810669815409355
mj00b_455.cif,24.91874710351805
mj00b_122.cif,26.51249506906899
mj00b_540.cif,27.402016267514625
mj00b_131.cif,27.54233797964977
mj00b_356.cif,27.78725631563167
mj00b_224.cif,27.832194084972656
mj00b_447.cif,28.16395021903861
mj00b_123.cif,28.32210283070357
mj00b_513.cif,28.52538145683453
mj00b_247.cif,28.54901392851721
mj00b_8.cif,29.092161123123894
mj00b_63.cif,29.166937710279242
mj00b_506.cif,29.688462620365247
mj00b_533.cif,30.276425594496036
mj00b_204.cif,31.490126108856092
mj00b_322.cif,32.351723088258204
mj00b_369.cif,33.37157226689612
mj00b_284.cif,34.54713151227712
mj00b_214.cif,34.850041225908846
mj00b_355.cif,35.69320491799979
mj00b_315.cif,36.13461447028827
mj00b_9.cif,36.52114111802936
mj00b_189.cif,36.59236413282066
mj00b_19.cif,36.79130435270165
mj00b_536.cif,36.94826069450136
mj00b_107.cif,36.96013124499863
mj00b_52.cif,37.10771547158059
mj00b_515.cif,37.34234384278917
mj00b_1.cif,37.73632590418506
mj00b_83.cif,38.16727165301434
mj00b_41.cif,38.441418183779234
mj00b_532.cif,39.74790022397771
mj00b_500.cif,39.84658167875257
mj00b_215.cif,40.14261179545485
mj00b_55.cif,40.48981262243872
mj00b_495.cif,40.54585885338585
mj00b_255.cif,40.99547551799881
mj00b_192.cif,42.45587774495276
mj00b_278.cif,42.52767445063634
mj00b_310.cif,42.55155492158798
mj00b_568.cif,43.47718177664322
mj00b_210.cif,44.34972217054165
mj00b_475.cif,44.65413002600856
mj00b_309.cif,44.96680390395098
mj00b_263.cif,45.07511197042987
mj00b_151.cif,45.30749008948325
mj00b_504.cif,45.31454743925035
mj00b_49.cif,45.75990614604445
mj00b_216.cif,45.795928457096444
mj00b_331.cif,46.454360809299274
mj00b_545.cif,46.541035715193274
mj00b_30.cif,46.56446148234518
mj00b_4.cif,46.88030509057545
mj00b_563.cif,47.46235907069038
mj00b_378.cif,47.66529842401923
mj00b_12.cif,48.550173528961494
mj00b_435.cif,48.918717537365524
mj00b_390.cif,49.17935261399856
mj00b_450.cif,49.569411813465365
mj00b_72.cif,49.77364434800886
mj00b_130.cif,50.68136942275498
mj00b_418.cif,51.9429708850312
mj00b_343.cif,52.34759526744503
mj00b_268.cif,52.377387974981815
mj00b_115.cif,52.52149399179733
mj00b_520.cif,53.166210498382355
mj00b_296.cif,53.97973132934909
mj00b_394.cif,54.15633595370861
mj00b_67.cif,54.19976160596042
mj00b_325.cif,54.21596402532859
mj00b_50.cif,54.27834226249236
mj00b_70.cif,54.615421347335285
mj00b_69.cif,54.659348417179885
mj00b_553.cif,54.671604562791316
mj00b_135.cif,55.006135915702664
mj00b_575.cif,55.07100624095358
mj00b_572.cif,55.13642167407768
mj00b_571.cif,55.14081463608854
mj00b_508.cif,55.15364272284615
mj00b_212.cif,55.26481825569908
mj00b_109.cif,55.369508702121664
mj00b_2.cif,55.53592644828333
mj00b_303.cif,55.73493558454262
mj00b_466.cif,55.780207510381985
mj00b_463.cif,55.7869914440616
mj00b_419.cif,55.81036483502048
mj00b_64.cif,55.85744295275475
mj00b_440.cif,55.92700655444802
mj00b_366.cif,55.991093896691865
mj00b_481.cif,55.99961984523601
mj00b_129.cif,56.109870928681204
mj00b_138.cif,56.17754378031404
mj00b_351.cif,56.31789242923573
mj00b_417.cif,56.36580137399747
mj00b_36.cif,56.48138262151955
mj00b_185.cif,56.4896792589833
mj00b_86.cif,56.56889257657964
mj00b_543.cif,56.6186400755547
mj00b_537.cif,56.66460698485241
mj00b_557.cif,56.68045033831176
mj00b_75.cif,56.69415556082129
mj00b_13.cif,56.95877075366275
mj00b_40.cif,56.97506358771231
mj00b_164.cif,57.12505244876664
mj00b_474.cif,57.151457547097706
mj00b_62.cif,57.363603659940935
mj00b_489.cif,57.409204415853765
mj00b_364.cif,57.42102587621275
mj00b_547.cif,57.43489382506016
mj00b_159.cif,57.544958350149614
mj00b_517.cif,57.572750316917634
mj00b_236.cif,57.61105252713672
mj00b_267.cif,57.645845464297665
mj00b_300.cif,57.66291926227376
mj00b_574.cif,57.690467644335605
mj00b_457.cif,57.718003681635125
mj00b_239.cif,57.746029090129355
mj00b_400.cif,57.82603210937303
mj00b_478.cif,57.927445724845754
mj00b_528.cif,57.9514264927906
mj00b_243.cif,58.1590500383428
mj00b_206.cif,58.1945310768907
mj00b_431.cif,58.29491985538679
mj00b_273.cif,58.31011821195018
mj00b_512.cif,58.63345671213585
mj00b_59.cif,58.651342587023024
mj00b_271.cif,58.69917198137449
mj00b_444.cif,58.793331817023116
mj00b_207.cif,58.81676781171801
mj00b_329.cif,58.83089459643621
mj00b_433.cif,58.91103834712857
mj00b_85.cif,58.92284442176873
mj00b_402.cif,59.092826838349595
mj00b_552.cif,59.15333330002824
mj00b_191.cif,59.25706362927977
mj00b_84.cif,59.42752990885006
mj00b_526.cif,59.44699571752371
mj00b_293.cif,59.565172080866475
mj00b_256.cif,59.59278442121705
mj00b_570.cif,59.691716692746965
mj00b_516.cif,59.70551176119632
mj00b_220.cif,59.80094434498022
mj00b_98.cif,59.80848879005859
mj00b_200.cif,59.815922006808826
mj00b_441.cif,59.91259360863539
mj00b_521.cif,59.92499027146079
mj00b_219.cif,59.958386826922776
mj00b_448.cif,60.09007406549263
mj00b_211.cif,60.47450738243751
mj00b_176.cif,60.51177422532294
mj00b_576.cif,60.63879828761342
mj00b_28.cif,60.65246130213899
mj00b_370.cif,60.669977019213135
mj00b_274.cif,60.95310326451069
mj00b_24.cif,60.96528683700089
